Year,Type,Country,Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Species ,latitude,longitude
2007,Unprovoked,USA,Florida,Swimming,M,52,Torso bitten,N,NA,27.664827,-81.515754
2007,Unprovoked,USA,Florida,Surfing,M,16,Foot bitten,N,NA,27.664827,-81.515754
2007,Unprovoked,USA,South Carolina,Playing,M,7,Right calf bitten,N,NA,33.836081,-81.163725
2007,Unprovoked,USA,Florida,Floating near boat & observing bioluminesce,M,20,Puncture wounds to torso,N,Bull   ,27.664827,-81.515754
2007,Unprovoked,USA,Florida,Swimming,F,15,"Minor injury, small lacerations to right foot",N,NA,27.664827,-81.515754
2007,Unprovoked,USA,Florida,Walking out of the water after surfing,M,19,"Minor injury, lacerations to left ankle & foot ",N,NA,27.664827,-81.515754
2007,Unprovoked,USA,South Carolina,Swimming,M,30,Lacerations to right foot,N,NA,33.836081,-81.163725
2007,Unprovoked,USA,South Carolina,Boogie Boarding,M,9,Lacerations to lower leg & ankle,N,NA,33.836081,-81.163725
2007,Unprovoked,USA,Florida,Jumped into the water,F,19,Lacerations to arm,N,Bull   ,27.664827,-81.515754
2007,Unprovoked,USA,Florida,Surfing,M,51,Minor injury to shoulder,N,NA,27.664827,-81.515754
2007,Unprovoked,USA,California,Surfing,M,20,"No injury, shark bit surfboard",N,NA,36.778261,-119.417932
2007,Unprovoked,USA,California,Surf paddling,M,NA,"No injury, surfboard bumped by shark for 20 minutes",N,White,36.778261,-119.417932
2007,Boat,USA,California,Kayak Fishing,M,NA,"No injury, kayak bitten",N,White,36.778261,-119.417932
2007,Unprovoked,USA,Hawaii,Snorkeling,M,36,Left calf severely bitten,N,NA,-14.270972,-170.132217
2007,Unprovoked,USA,North Carolina,Swimming,M,14,Right calf bitten,N,NA,35.759573,-79.0193
2007,Unprovoked,USA,North Carolina,Wading,F,30,Lacerations to right thigh & left foot,N,NA,35.759573,-79.0193
2007,Unprovoked,USA,Florida,Surfing,M,18,Right foot bitten,N,NA,27.664827,-81.515754
2007,Provoked,USA,Florida,Removing hook from shark,M,NA,Lacerations to right  hand by hooked shark PROVOKED INCIDENT,N,Lemon,27.664827,-81.515754
2007,Unprovoked,USA,California,Swimming,F,NA,Hand bitten,N,NA,36.778261,-119.417932
2007,Unprovoked,USA,Florida,Surfing,M,20,6 to 8 puncture wounds to right hand,N,NA,27.664827,-81.515754
2007,Unprovoked,USA,Hawaii,Surfing,M,NA,"No injury, board damaged",N,Tiger   ,-14.270972,-170.132217
